femaDeclarationString,disasterNumber,state,declarationType,declarationDate,fyDeclared,incidentType,declarationTitle,,incidentBeginDate,incidentEndDate,fipsCountyCode,placeCode,designatedArea,,,,,
FM-5395-WA,5395,WA,FM,2021-07-06T00:00:00.000Z,2021,Fire,ANDRUS FIRE,,2021-07-05T00:00:00.000Z,2021-07-11T00:00:00.000Z,63,99063,Spokane (County),,,,,
FM-5394-OR,5394,OR,FM,2021-06-30T00:00:00.000Z,2021,Fire,0419 FIRE,,2021-06-29T00:00:00.000Z,2021-06-30T00:00:00.000Z,17,99017,Deschutes (County),,,,,
FM-5393-CA,5393,CA,FM,2021-06-29T00:00:00.000Z,2021,Fire,LAVA FIRE,,2021-06-24T00:00:00.000Z,2021-07-06T00:00:00.000Z,93,99093,Siskiyou (County),,,,,
FM-5392-MT,5392,MT,FM,2021-06-16T00:00:00.000Z,2021,Fire,ROBERTSON DRAW FIRE,,2021-06-15T00:00:00.000Z,2021-06-20T00:00:00.000Z,9,99009,Carbon (County),,,,,
FM-5391-UT,5391,UT,FM,2021-06-10T00:00:00.000Z,2021,Fire,PACK CREEK FIRE,,2021-06-10T00:00:00.000Z,2021-06-26T00:00:00.000Z,37,99037,San Juan (County),,,,,
FM-5390-NV,5390,NV,FM,2021-06-09T00:00:00.000Z,2021,Fire,JACKS VALLEY FIRE,,2021-06-09T00:00:00.000Z,,5,99005,Douglas (County),,,,,
FM-5388-UT,5388,UT,FM,2021-06-05T00:00:00.000Z,2021,Fire,MAMMOTH FIRE,,2021-06-05T00:00:00.000Z,2021-06-13T00:00:00.000Z,17,99017,Garfield (County),,,,,
FM-5386-NM,5386,NM,FM,2021-04-27T00:00:00.000Z,2021,Fire,THREE RIVERS FIRE,,2021-04-26T00:00:00.000Z,,27,99027,Lincoln (County),,,,,
FM-5384-SD,5384,SD,FM,2021-03-29T00:00:00.000Z,2021,Fire,SCHROEDER FIRE,,2021-03-29T00:00:00.000Z,2021-04-04T00:00:00.000Z,103,99103,Pennington (County),,,,,
FM-5383-CA,5383,CA,FM,2020-12-03T00:00:00.000Z,2021,Fire,BOND FIRE,,2020-12-03T00:00:00.000Z,,59,99059,Orange (County),,,,,
FM-5382-NV,5382,NV,FM,2020-11-17T00:00:00.000Z,2021,Fire,PINEHAVEN FIRE,,2020-11-17T00:00:00.000Z,2020-11-18T00:00:00.000Z,31,99031,Washoe (County),,,,,
FM-5381-CA,5381,CA,FM,2020-10-26T00:00:00.000Z,2021,Fire,BLUE RIDGE FIRE,,2020-10-26T00:00:00.000Z,,59,99059,Orange (County),,,,,
FM-5381-CA,5381,CA,FM,2020-10-26T00:00:00.000Z,2021,Fire,BLUE RIDGE FIRE,,2020-10-26T00:00:00.000Z,,65,99065,Riverside (County),,,,,
FM-5381-CA,5381,CA,FM,2020-10-26T00:00:00.000Z,2021,Fire,BLUE RIDGE FIRE,,2020-10-26T00:00:00.000Z,,71,99071,San Bernardino (County),,,,,
FM-5380-CA,5380,CA,FM,2020-10-26T00:00:00.000Z,2021,Fire,SILVERADO FIRE,,2020-10-26T00:00:00.000Z,,59,99059,Orange (County),,,,,
FM-5379-CO,5379,CO,FM,2020-10-17T00:00:00.000Z,2021,Fire,CALWOOD FIRE,,2020-10-17T00:00:00.000Z,2020-10-24T00:00:00.000Z,13,99013,Boulder (County),,,,,
FM-5378-CO,5378,CO,FM,2020-10-17T00:00:00.000Z,2021,Fire,EAST TROUBLESOME FIRE,,2020-10-17T00:00:00.000Z,2020-11-05T00:00:00.000Z,49,99049,Grand (County),,,,,
FM-5377-CA,5377,CA,FM,2020-09-28T00:00:00.000Z,2020,Fire,ZOGG FIRE,,2020-09-28T00:00:00.000Z,,89,99089,Shasta (County),,,,,
FM-5376-CA,5376,CA,FM,2020-09-27T00:00:00.000Z,2020,Fire,GLASS FIRE,,2020-09-27T00:00:00.000Z,,55,99055,Napa (County),,,,,
FM-5376-CA,5376,CA,FM,2020-09-27T00:00:00.000Z,2020,Fire,GLASS FIRE,,2020-09-27T00:00:00.000Z,,97,99097,Sonoma (County),,,,,
FM-5375-WY,5375,WY,FM,2020-09-26T00:00:00.000Z,2020,Fire,MULLEN FIRE,,2020-09-25T00:00:00.000Z,2020-10-19T00:00:00.000Z,1,99001,Albany (County),,,,,
FM-5375-WY,5375,WY,FM,2020-09-26T00:00:00.000Z,2020,Fire,MULLEN FIRE,,2020-09-25T00:00:00.000Z,2020-10-19T00:00:00.000Z,7,99007,Carbon (County),,,,,
FM-5374-CA,5374,CA,FM,2020-09-13T00:00:00.000Z,2020,Fire,BOBCAT FIRE,,2020-09-13T00:00:00.000Z,,37,99037,Los Angeles (County),,,,,
FM-5373-CA,5373,CA,FM,2020-09-13T00:00:00.000Z,2020,Fire,SQF FIRE COMPLEX,,2020-09-13T00:00:00.000Z,,107,99107,Tulare (County),,,,,
FM-5372-OR,5372,OR,FM,2020-09-12T00:00:00.000Z,2020,Fire,BRATTAIN FIRE,,2020-09-12T00:00:00.000Z,2020-09-29T00:00:00.000Z,37,99037,Lake (County),,,,,
